SCENE_ID,REASON
LE07_023036_20090309,Cloud/Cirrus/Missing
LE07_023036_20150529,Cloud
LE07_023036_20170227,Cloud
LE07_023036_20170603,Cloud
LC08_023036_20171102,Cloud
LC08_023036_20190209,Cloud/Cirrus/Missing
LC08_023036_20190225,Cloud/Cirrus
LC08_023036_20191108,Cloud/Cirrus
LC09_023036_20220108,Cloud/Missing
LE07_023037_20170416,Cloud
LE07_023037_20170603,Cloud
LE07_023037_20171009,Cloud
LC08_023037_20180310,Cloud
LC08_023037_20180326,Cloud
LE07_023037_20180708,Cloud
LC08_023037_20190225,Cloud/Cirrus
LC08_023037_20201228,Cloud/Missing
LE07_023037_20210716,Cloud
LC08_023037_20211231,Cloud/Missing
LC08_023037_20220609,Cloud/Cirrus
LC08_023037_20221202,Cloud
LC08_023037_20230220,Cloud/Missing
LC08_023037_20230324,Cloud
LE07_023038_20160819,Cloud
LC08_023038_20170611,Cloud
LC08_023038_20171102,Cloud
LC08_023038_20180222,Cloud
LC08_023038_20180326,Cloud
LE07_023038_20180708,Cloud
LE07_023038_20201204,Cloud
LC08_023038_20230324,Cloud
LC08_023038_20230612,Cloud
LT05_023039_19861113,Cloud/Missing
LE07_023039_20151105,Cloud
LC08_023039_20161217,Cloud
LE07_023039_20161225,Cloud
LC08_023039_20170203,Cloud/Missing
LC08_023039_20171204,Cloud/Missing
LC08_023039_20180105,Cloud/Cirrus
LC08_023039_20180121,Cloud/Missing
LE07_023039_20180214,Cloud/Missing
LE07_023039_20180318,Cloud/Missing
LC08_023039_20180326,Cloud
LE07_023039_20180708,Cloud
LE07_023039_20181231,Cloud
LE07_023039_20190217,Cloud
LC08_023039_20191210,Cloud/Snow/Missing
LC08_023039_20201126,Cloud/Missing
LC08_023039_20220812,Cloud
LC09_023039_20220820,Cloud/Missing
LC09_023039_20221210,Cloud
LC08_023039_20230103,Cloud/Missing
LC09_023039_20230111,Cloud
LC08_023039_20230324,Cloud
LC08_023039_20230511,Cloud
LC09_023039_20230924,Cloud/Cirrus
LC08_023039_20231221,Cloud
LT05_023040_19871116,Cloud
LT05_023040_19891223,Cloud
LT05_023040_19960601,Cloud
LT05_023040_19970519,Cloud
LE07_023040_19991008,Cloud
LE07_023040_20141001,Cloud
LC08_023040_20150318,Cloud
LC08_023040_20150521,Cloud
LE07_023040_20151105,Cloud
LC08_023040_20151129,Cloud
LC08_023040_20160320,Shadow
LC08_023040_20160421,Cloud
LE07_023040_20160515,Cloud
LC08_023040_20160710,Cloud
LC08_023040_20160726,Cloud/Shadow
LC08_023040_20161217,Cloud
LE07_023040_20161225,Cloud
LC08_023040_20170102,Cloud
LE07_023040_20170126,Cloud
LE07_023040_20170227,Cloud
LC08_023040_20170510,Cloud
LE07_023040_20170518,Cloud
LE07_023040_20170603,Cloud
LC08_023040_20170627,Cloud
LE07_023040_20170822,Cloud
LE07_023040_20171009,Cloud
LC08_023040_20171118,Cloud
LC08_023040_20171204,Cloud
LC08_023040_20171220,Cloud
LC08_023040_20180105,Cloud
LC08_023040_20180121,Cloud
LC08_023040_20180206,Cloud
LE07_023040_20180214,Cloud
LE07_023040_20180318,Cloud
LC08_023040_20180326,Cloud
LC08_023040_20180614,Cloud
LC08_023040_20180801,Cloud
LC08_023040_20180817,Cloud
LC08_023040_20181020,Cloud
LC08_023040_20181105,Cloud
LC08_023040_20181121,Cloud
LC08_023040_20181207,Cloud
LC08_023040_20190108,Cloud
LC08_023040_20190209,Cloud/Missing
LE07_023040_20190217,Cloud
LC08_023040_20190313,Cloud/Missing
LC08_023040_20190329,Cloud
LE07_023040_20190406,Cloud
LC08_023040_20190430,Cloud
LE07_023040_20190524,Cloud
LC08_023040_20190703,Cloud/Missing
LE07_023040_20190812,Cloud
LC08_023040_20190820,Cloud
LE07_023040_20191015,Cloud
LC08_023040_20191210,Cloud
LC08_023040_20200331,Cloud
LC08_023040_20200603,Cloud
LE07_023040_20200627,Cloud
LC08_023040_20200907,Cloud
LC08_023040_20200923,Cloud
LC08_023040_20201110,Cloud
LC08_023040_20201126,Cloud/Missing
LC08_023040_20210505,Cloud
LE07_023040_20210716,Cloud
LE07_023040_20210902,Cloud
LE07_023040_20211004,Cloud
LE07_023040_20211020,Cloud/Missing
LE07_023040_20211121,Cloud
LC08_023040_20220116,Cloud
LC08_023040_20220201,Cloud
LC08_023040_20220321,Cloud
LC09_023040_20220804,Cloud
LC08_023040_20220812,Cloud
LC09_023040_20220820,Cloud
LC09_023040_20221124,Cloud
LC09_023040_20221210,Cloud
LC08_023040_20230103,Cloud
LC09_023040_20230111,Cloud
LC08_023040_20230308,Cloud
LC09_023040_20230316,Cloud
LC08_023040_20230324,Cloud
LC09_023040_20230401,Cloud
LC09_023040_20230503,Cloud
LC08_023040_20230511,Cloud
LC09_023040_20230620,Cloud
LC08_023040_20230628,Cloud
LC08_023040_20230714,Cloud
LC09_023040_20230924,Cloud
LC09_023040_20231127,Cloud
LC08_023040_20231205,Cloud
LC09_023040_20231213,Cloud
LC08_023040_20231221,Cloud
LC08_023040_20240207,Cloud
LC09_023040_20240215,Cloud
LC09_023040_20240302,Cloud
LC08_023040_20240310,Cloud
LT05_024028_20030204,Cloud/Snow
LE07_024028_20030212,Cloud/Snow
